#Bandwidth	Vehicle Utilization	Number Initial Setup Jobs	Job Rate	Job Processing Time		Cars Arrived	Cars Departed	Jobs Completed	Jobs Failed	Jobs Total	VM Migrations Successful	VM Migrations Failed	VM Migrations Total	Avg Job Completion Time	MTTF	avg success VM Migration Time	avg jobs in initial setup	avg jobs in parking lot	avg jobs in job queue	avg cars in parking lot
7500	80	100	0.25	150	Results	100789	53766	17922	0	17922	0	0	0	350	0	0	100	635	11122	2558																																																																								
7500	80	100	0.25	180	Results	100789	53766	17817	0	17817	0	0	0	382	0	0	99	691	11137	2558																																																																								
7500	80	100	0.25	210	Results	100789	53766	17783	10	17793	9	0	9	441	641	13	99	794	11130	2558																																																																								
7500	80	100	0.25	240	Results	100789	53766	17336	62	17398	744	3	747	513	722	10	99	916	11160	2558																																																																								
7500	80	100	0.25	270	Results	100789	53766	11707	3967	15674	4131	3532	7663	981	588	38	99	1129	13173	2558																																																																								
7500	80	100	0.25	300	Results	100789	53766	10290	5457	15747	4756	5038	9794	1265	584	42	99	1162	14078	2558																																																																								


7500	80	100	0.3	30	Results	100789	53766	18310	0	18310	0	0	0	224	0	0	100	414	7473	2558																																																																								
7500	80	100	0.3	60	Results	100789	53766	18208	0	18208	0	0	0	255	0	0	100	469	7497	2558																																																																								
7500	80	100	0.3	90	Results	100789	53766	18080	0	18080	0	0	0	286	0	0	100	523	7534	2558																																																																								
7500	80	100	0.3	120	Results	100789	53766	17982	0	17982	0	0	0	316	0	0	100	576	7553	2558																																																																								
7500	80	100	0.3	150	Results	100789	53766	17916	0	17916	0	0	0	349	0	0	99	633	7558	2558																																																																								
7500	80	100	0.3	180	Results	100789	53766	17807	0	17807	0	0	0	382	0	0	99	690	7578	2558																																																																								
7500	80	100	0.3	210	Results	100789	53766	17787	5	17792	25	1	26	445	576	9	99	802	7565	2558																																																																								
7500	80	100	0.3	240	Results	100789	53766	17382	39	17421	719	3	722	506	774	14	99	901	7605	2558																																																																								
7500	80	100	0.3	270	Results	100789	53766	13000	3353	16353	3739	2961	6700	889	597	35	99	1091	9055	2558																																																																								
7500	80	100	0.3	300	Results	100789	53766	10941	5206	16147	4616	4704	9320	1223	584	42	99	1140	10436	2558																																																																								


7500	80	100	0.35	30	Results	100789	53766	18325	0	18325	0	0	0	223	0	0	100	414	5014	2558																																																																								
7500	80	100	0.35	60	Results	100789	53766	18213	0	18213	0	0	0	254	0	0	100	468	5048	2558																																																																								
7500	80	100	0.35	90	Results	100789	53766	18084	0	18084	0	0	0	285	0	0	100	522	5090	2558																																																																								
7500	80	100	0.35	120	Results	100789	53766	17980	0	17980	0	0	0	316	0	0	100	576	5106	2558																																																																								
7500	80	100	0.35	150	Results	100789	53766	17894	0	17894	0	0	0	348	0	0	99	632	5117	2558																																																																								
7500	80	100	0.35	180	Results	100789	53766	17800	0	17800	0	0	0	381	0	0	99	690	5121	2558																																																																								
7500	80	100	0.35	210	Results	100789	53766	17796	15	17811	18	1	19	447	645	9	99	805	5117	2558																																																																								
7500	80	100	0.35	240	Results	100789	53766	17588	33	17621	608	2	610	495	866	14	99	882	5184	2558																																																																								
7500	80	100	0.35	270	Results	100789	53766	12410	3410	15820	3633	3031	6664	952	592	37	99	1084	6959	2558																																																																								
7500	80	100	0.35	300	Results	100789	53766	11960	4383	16343	4023	3944	7967	1092	583	40	99	1098	7297	2558																																																																								


